icpsr,id,name,state_abbrev,cast_code
10739,MH09410739,"HOWARD, James John",NJ,1
10740,MH09410740,"HUNGATE, William Leonard",MO,1
10742,MH09410742,"JACOBS, Andrew, Jr.",IN,1
13055,MH09413055,"BUTLER, Manley Caldwell",VA,1
10749,MH09410749,"McEWEN, Robert Cameron",NY,1
10756,MH09410756,"MEEDS, Edwin Lloyd",WA,1
10757,MH09410757,"MINK, Patsy Takemoto",HI,9
10760,MH09410760,"OTTINGER, Richard Lawrence",NY,1
10766,MH09410766,"RONCALIO, Teno",WY,1
10767,MH09410767,"SATTERFIELD, David Edward, III",VA,1
10768,MH09410768,"SCHEUER, James Haas",NY,9
10773,MH09410773,"STANTON, John William",OH,1
10778,MH09410778,"VIGORITO, Joseph Phillip",PA,1
6685,MH09406685,"MORGAN, Thomas Ellsworth",PA,1
10783,MH09410783,"WHITE, Richard Crawford",TX,1
10784,MH09410784,"WOLFF, Lester Lionel",NY,1
2594,MH09402594,"DIGGS, Charles Coles, Jr.",MI,1
10788,MH09410788,"JONES, Walter Beaman, Sr.",NC,1
10790,MH09410790,"REES, Thomas Mankell",CA,1
10794,MH09410794,"VANDER JAGT, Guy Adrian",MI,1
2605,MH09402605,"DINGELL, John David, Jr.",MI,1
12044,MH09412044,"CARNEY, Charles Joseph",OH,1
6756,MH09406756,"MOSS, John Emerson",CA,9
8824,MH09408824,"STAGGERS, Harley Orrin",WV,1
633,MH09400633,"BENNETT, Charles Edward",FL,1
2706,MH09402706,"DOWNING, Thomas Nelms",VA,1
8866,MH09408866,"STEED, Thomas Jefferson",OK,9
94891,MH09494891,"JARMAN, John",OK,9
13048,MH09413048,"DAVIS, Mendel Jackson",SC,1
6845,MH09406845,"NATCHER, William Huston",KY,1
13001,MH09413001,"ABZUG, Bella Savitzky",NY,1
13002,MH09413002,"ARCHER, William Reynolds, Jr.",TX,1
13003,MH09413003,"ASPIN, Leslie",WI,1
13004,MH09413004,"BADILLO, Herman",NY,1
13007,MH09413007,"BERGLAND, Robert Selmer",MN,1
13008,MH09413008,"BYRON, Goodloe Edgar",MD,1
13009,MH09413009,"COTTER, William Ross",CT,1
13010,MH09413010,"DANIELSON, George Elmore",CA,3
13011,MH09413011,"DELLUMS, Ronald V.",CA,1
13013,MH09413013,"DRINAN, Robert Frederick",MA,1
13014,MH09413014,"du PONT, Pierre Samuel, IV",DE,1
13015,MH09413015,"FRENZEL, William Eldridge",MN,1
13018,MH09413018,"HILLIS, Elwood Haynes",IN,1
13020,MH09413020,"KEMP, Jack French",NY,1
13021,MH09413021,"LENT, Norman Frederick",NY,1
13023,MH09413023,"MATHIS, Marvin Dawson",GA,1
13024,MH09413024,"MAZZOLI, Romano Louis",KY,1
13025,MH09413025,"McCOLLISTER, John Yetter",NE,9
13026,MH09413026,"McCORMACK, Mike",WA,9
13027,MH09413027,"McKAY, Koln Gunn",UT,1
13029,MH09413029,"McKINNEY, Stewart Brett",CT,1
13030,MH09413030,"METCALFE, Ralph Harold",IL,1
13031,MH09413031,"MITCHELL, Parren James",MD,1
